player,hof_flag,final_mvp,all_stargame,championship_ring,league_mvp,assist,blocks,box_plus_minus,points,steals,total_rebounds,value_of_replacement,win_shares
A.C. Green,N,N,Y,Y,N,1469.00,562.00,-1.50,12928.00,1103.00,10129.00,1.30,104.00
A.J. English,N,N,N,N,N,320.00,24.00,-10.20,1502.00,57.00,315.00,-1.20,1.00
A.J. Guyton,N,N,N,N,N,145.00,12.00,-10.60,442.00,19.00,80.00,-0.50,0.00
A.J. Price,N,N,N,N,N,316.00,4.00,-5.20,764.00,62.00,186.00,-0.10,3.00
Aaron Brooks,N,N,N,N,N,2309.00,99.00,-28.60,7266.00,430.00,1240.00,0.00,21.00
Aaron Gordon,N,N,N,N,N,311.00,117.00,-1.70,1981.00,144.00,1081.00,0.80,10.00
Aaron Gray,N,N,N,N,N,143.00,53.00,-3.50,570.00,49.00,660.00,0.10,4.00
Aaron James,N,N,N,N,N,370.00,69.00,-15.40,3829.00,158.00,1470.00,-0.30,13.00
Aaron McKie,N,N,N,N,N,2438.00,199.00,4.20,6607.00,1081.00,3001.00,0.90,45.00
Aaron Williams,N,N,N,N,N,444.00,470.00,-24.00,3700.00,242.00,2467.00,0.30,27.00
Abdul Jeelani,N,N,N,N,N,160.00,71.00,-2.20,1290.00,84.00,500.00,0.30,5.00
Acie Earl,N,N,N,N,N,61.00,126.00,-35.30,980.00,63.00,517.00,-0.60,0.00
Acie Law,N,N,N,N,N,112.00,4.00,-8.20,275.00,22.00,75.00,-0.30,1.00
Adam Harrington,N,N,N,N,N,2.00,1.00,-12.60,11.00,1.00,2.00,-0.10,0.00
Adam Keefe,N,N,N,N,N,427.00,173.00,-7.30,3107.00,307.00,2556.00,0.50,25.00
Adam Morrison,N,N,N,N,N,201.00,10.00,-10.80,1116.00,37.00,302.00,-1.30,-1.00
Adonal Foyle,N,N,N,N,N,308.00,1094.00,-8.30,2679.00,242.00,3060.00,0.40,16.00
Adreian Payne,N,N,N,N,N,89.00,29.00,-17.70,553.00,53.00,431.00,-0.60,-2.00
Adrian Branch,N,N,N,N,N,92.00,17.00,-7.10,769.00,77.00,233.00,-0.10,2.00
Adrian Caldwell,N,N,N,N,N,45.00,49.00,-31.70,486.00,71.00,653.00,-0.30,1.00
Adrian Dantley,Y,N,Y,N,N,3140.00,187.00,44.40,25541.00,1080.00,6239.00,2.90,150.00
Adrian Griffin,N,N,N,N,N,616.00,55.00,5.00,1843.00,412.00,1434.00,0.90,16.00
Al Carlson,N,N,N,N,N,13.00,11.00,-5.30,72.00,7.00,73.00,-0.20,0.00
Al Eberhard,N,N,N,N,N,76.00,19.00,-5.40,654.00,58.00,323.00,-0.10,3.00
Al Harrington,N,N,N,N,N,1852.00,291.00,-24.50,15653.00,986.00,6298.00,0.40,51.00
Al Horford,N,N,Y,N,N,1926.00,784.00,29.50,9240.00,534.00,5608.00,2.70,71.00
Al Jefferson,N,N,N,N,N,1317.00,1070.00,-2.20,14091.00,612.00,7547.00,1.10,69.00
Al Skinner,N,N,N,N,N,670.00,96.00,-8.00,2488.00,273.00,897.00,0.30,8.00
Al Thornton,N,N,N,N,N,476.00,186.00,-28.00,4599.00,245.00,1638.00,-0.60,9.00
Al Wood,N,N,N,N,N,789.00,167.00,-16.30,5264.00,332.00,1352.00,0.00,16.00
Al-Farouq Aminu,N,N,N,N,N,639.00,307.00,-2.70,3766.00,494.00,2948.00,0.70,18.00
Alaa Abdelnaby,N,N,N,N,N,125.00,107.00,-43.00,2297.00,111.00,1289.00,-0.40,7.00
Alan Anderson,N,N,N,N,N,222.00,23.00,-9.80,1479.00,120.00,483.00,0.00,5.00
Alan Hardy,N,N,N,N,N,23.00,13.00,-16.90,193.00,10.00,53.00,-0.30,0.00
Alan Henderson,N,N,N,N,N,372.00,289.00,-17.10,4871.00,342.00,3112.00,0.10,27.00
Alan Ogg,N,N,N,N,N,9.00,55.00,-7.70,162.00,11.00,123.00,-0.10,1.00
Alan Williams,N,N,N,N,N,28.00,37.00,-0.20,375.00,31.00,330.00,0.10,2.00
Alando Tucker,N,N,N,N,N,12.00,1.00,-5.80,138.00,5.00,31.00,-0.30,0.00
Albert King,N,N,N,N,N,906.00,165.00,-8.30,5065.00,364.00,1745.00,0.40,14.00
Alec Burks,N,N,N,N,N,534.00,46.00,-14.70,3034.00,184.00,877.00,0.00,10.00
Alec Kessler,N,N,N,N,N,79.00,70.00,-17.50,1051.00,38.00,741.00,-1.00,2.00
Aleksandar Radojevic,N,N,N,N,N,1.00,1.00,-11.50,7.00,2.00,8.00,-0.10,0.00
Alex Abrines,N,N,N,N,N,40.00,8.00,-2.50,406.00,37.00,86.00,-0.10,2.00
Alex Bradley,N,N,N,N,N,11.00,5.00,-3.90,137.00,12.00,65.00,-0.20,0.00
Alex English,Y,N,Y,N,N,4575.00,895.00,20.00,26931.00,1140.00,7143.00,2.20,106.00
Alex Garcia,N,N,N,N,N,18.00,1.00,-4.50,44.00,4.00,15.00,-0.10,0.00
Alex Len,N,N,N,N,N,177.00,283.00,-12.30,1834.00,113.00,1657.00,-0.20,8.00
Alexander Johnson,N,N,N,N,N,30.00,45.00,-9.10,439.00,38.00,275.00,-0.40,2.00
Alexander Volkov,N,N,N,N,N,333.00,52.00,0.50,1019.00,102.00,384.00,0.80,4.00
Alexey Shved,N,N,N,N,N,517.00,54.00,-2.60,1585.00,125.00,428.00,0.20,4.00
Alexis Ajinca,N,N,N,N,N,151.00,194.00,-25.60,1657.00,109.00,1207.00,-0.10,8.00
Alfredrick Hughes,N,N,N,N,N,61.00,5.00,-6.50,356.00,26.00,113.00,-1.00,-1.00
Allan Bristow,N,N,N,N,N,2098.00,40.00,-5.20,5122.00,490.00,2613.00,0.70,23.00
Allan Houston,N,N,Y,N,N,1990.00,139.00,-13.40,14551.00,566.00,2434.00,0.80,55.00
Allan Ray,N,N,N,N,N,43.00,3.00,-3.50,290.00,20.00,69.00,-0.30,1.00
Allen Crabbe,N,N,N,N,N,237.00,52.00,-6.80,1878.00,138.00,523.00,0.40,10.00
Allen Iverson,Y,N,Y,N,Y,6457.00,184.00,29.50,27364.00,2209.00,3827.00,2.60,108.00
Allen Leavell,N,N,N,N,N,3339.00,120.00,-19.20,6684.00,929.00,1164.00,0.40,30.00
Alonzo Bradley,N,N,N,N,N,71.00,7.00,-10.30,399.00,21.00,145.00,-0.40,0.00
Alonzo Gee,N,N,N,N,N,453.00,106.00,-13.70,2863.00,400.00,1397.00,0.20,10.00
Alonzo Mourning,Y,N,Y,N,N,939.00,2210.00,8.60,13783.00,405.00,6892.00,1.60,87.00
Alton Ford,N,N,N,N,N,7.00,7.00,-6.40,164.00,6.00,107.00,-0.50,1.00
Alton Lister,N,N,N,N,N,811.00,1362.00,-21.10,5742.00,314.00,5581.00,0.50,34.00
Alvan Adams,N,N,Y,N,N,4012.00,808.00,45.00,13910.00,1289.00,6937.00,3.00,73.00
Alvin Jones,N,N,N,N,N,3.00,9.00,-4.50,26.00,3.00,36.00,-0.10,0.00
Alvin Robertson,N,N,Y,N,N,4192.00,341.00,43.30,11500.00,2267.00,4335.00,3.30,56.00
Alvin Scott,N,N,N,N,N,662.00,300.00,-3.00,2267.00,304.00,1411.00,0.60,16.00
Alvin Williams,N,N,N,N,N,1957.00,111.00,-13.50,4441.00,577.00,1196.00,0.40,23.00
Amal McCaskill,N,N,N,N,N,27.00,25.00,-12.10,141.00,15.00,155.00,-0.30,0.00
Amar'e Stoudemire,N,N,Y,N,N,1087.00,1088.00,-6.60,16426.00,656.00,6877.00,1.10,95.00
Amir Johnson,N,N,N,N,N,892.00,780.00,28.20,5539.00,464.00,4210.00,1.70,50.00
Anderson Varejao,N,N,N,N,N,689.00,392.00,16.30,4405.00,518.00,4343.00,1.20,45.00
Andrae Patterson,N,N,N,N,N,15.00,7.00,-0.50,114.00,19.00,65.00,0.10,1.00
Andray Blatche,N,N,N,N,N,798.00,458.00,-10.40,5706.00,492.00,3024.00,0.60,19.00
